iter	Passed	Remaining
0	50	50495
1	104	52360
2	158	52687
3	214	53396
4	261	52027
5	329	54559
6	386	54763
7	446	55352
8	503	55437
9	560	55511
10	629	56619
11	683	56242
12	740	56187
13	813	57292
14	866	56877
15	930	57213
16	985	56995
17	1041	56826
18	1097	56660
19	1151	56425
20	1201	55996
21	1251	55630
22	1302	55332
23	1352	55008
24	1404	54767
25	1455	54537
26	1509	54399
27	1561	54200
28	1615	54082
29	1664	53805
30	1717	53680
31	1766	53448
32	1815	53185
33	1863	52951
34	1915	52821
35	1969	52744
36	2023	52655
37	2083	52756
38	2138	52688
39	2191	52591
40	2242	52441
41	2294	52338
42	2344	52187
43	2401	52177
44	2459	52187
45	2514	52142
46	2564	52001
47	2614	51848
48	2663	51693
49	2712	51542
50	2764	51439
51	2814	51312
52	2865	51191
53	2916	51085
54	2969	51017
55	3025	50993
56	3078	50923
57	3128	50806
58	3178	50695
59	3230	50611
60	3281	50520
61	3333	50427
62	3388	50390
63	3442	50346
64	3491	50230
65	3544	50165
66	3600	50136
67	3652	50066
68	3706	50013
69	3761	49971
70	3831	50134
71	3908	50381
72	3962	50317
73	4018	50283
74	4088	50426
75	4139	50328
76	4190	50228
77	4252	50261
78	4302	50156
79	4361	50159
80	4412	50060
81	4461	49943
82	4515	49885
83	4568	49813
84	4623	49769
85	4676	49701
86	4729	49628
87	4780	49540
88	4832	49464
89	4883	49376
90	4935	49304
91	4988	49234
92	5041	49169
93	5098	49141
94	5151	49072
95	5202	48991
96	5254	48916
97	5305	48833
98	5354	48728
99	5405	48647
100	5462	48619
101	5514	48548
102	5563	48451
103	5614	48371
104	5667	48306
105	5728	48310
106	5784	48276
107	5835	48196
108	5886	48121
109	5937	48039
110	5986	47945
111	6039	47880
112	6092	47825
113	6146	47770
114	6194	47670
115	6244	47589
116	6294	47506
117	6345	47426
118	6398	47371
119	6453	47327
120	6507	47274
121	6557	47193
122	6605	47098
123	6657	47034
124	6710	46974
125	6762	46909
126	6813	46838
127	6863	46757
128	6915	46691
129	6975	46680
130	7029	46633
131	7088	46613
132	7150	46611
133	7202	46548
134	7255	46485
135	7308	46429
136	7357	46347
137	7410	46288
138	7465	46243
139	7515	46168
140	7571	46126
141	7621	46053
142	7674	45992
143	7727	45938
144	7779	45875
145	7834	45826
146	7884	45752
147	7940	45711
148	7991	45645
149	8045	45589
150	8104	45565
151	8163	45544
152	8216	45488
153	8269	45427
154	8334	45437
155	8386	45375
156	8438	45309
157	8490	45245
158	8549	45222
159	8599	45148
160	8651	45085
161	8703	45022
162	8757	44970
163	8808	44900
164	8860	44839
165	8913	44782
166	8970	44746
167	9032	44734
168	9092	44707
169	9237	45099
170	9291	45042
171	9344	44983
172	9398	44927
173	9452	44870
174	9502	44798
175	9559	44755
176	9610	44686
177	9663	44625
178	9716	44563
179	9767	44498
180	9819	44434
181	9872	44370
182	9935	44357
183	9986	44285
184	10040	44231
185	10091	44165
186	10142	44096
187	10195	44034
188	10249	43982
189	10303	43923
190	10356	43866
191	10407	43799
192	10460	43738
193	10522	43717
194	10584	43695
195	10635	43627
196	10689	43570
197	10741	43507
198	10797	43460
199	10849	43396
200	10900	43330
201	10964	43316
202	11018	43260
203	11074	43213
204	11129	43162
205	11187	43120
206	11242	43069
207	11297	43017
208	11363	43006
209	11441	43040
210	11499	42999
211	11586	43066
212	11645	43028
213	11701	42977
214	11756	42924
215	11816	42890
216	11870	42831
217	11924	42773
218	11977	42715
219	12032	42660
220	12084	42597
221	12165	42634
222	12219	42577
223	12274	42520
224	12335	42489
225	12398	42461
226	12463	42443
227	12525	42410
228	12581	42358
229	12639	42314
230	12692	42254
231	12751	42212
232	12805	42154
233	12858	42092
234	12912	42035
235	12970	41990
236	13024	41931
237	13076	41867
238	13130	41808
239	13200	41802
240	13256	41749
241	13309	41688
242	13363	41631
243	13420	41581
244	13471	41514
245	13522	41446
246	13574	41384
247	13641	41365
248	13695	41306
249	13751	41255
250	13807	41201
251	13860	41141
252	13918	41094
253	13971	41034
254	14026	40978
255	14079	40917
256	14133	40859
257	14200	40841
258	14250	40769
259	14303	40710
260	14360	40659
261	14416	40607
262	14468	40544
263	14522	40485
264	14579	40438
265	14634	40381
266	14686	40318
267	14741	40263
268	14796	40209
269	14854	40163
270	14916	40124
271	14971	40071
272	15026	40016
273	15079	39955
274	15138	39909
275	15196	39863
276	15269	39855
277	15329	39813
278	15385	39760
279	15442	39708
280	15499	39659
281	15553	39601
282	15609	39548
283	15663	39489
284	15720	39438
285	15778	39392
286	15843	39360
287	15901	39312
288	15951	39244
289	16005	39186
290	16061	39132
291	16114	39072
292	16172	39023
293	16226	38966
294	16285	38919
295	16336	38855
296	16389	38793
297	16444	38738
298	16503	38692
299	16558	38637
300	16610	38574
301	16667	38521
302	16738	38505
303	16803	38470
304	16875	38453
305	16941	38422
306	17000	38375
307	17063	38336
308	17120	38286
309	17179	38238
310	17244	38204
311	17297	38143
312	17348	38078
313	17406	38029
314	17477	38007
315	17533	37953
316	17589	37897
317	17642	37837
318	17697	37781
319	17752	37723
320	17805	37662
321	17859	37604
322	17916	37553
323	17974	37502
324	18028	37444
325	18096	37413
326	18168	37391
327	18222	37333
328	18276	37275
329	18337	37231
330	18387	37164
331	18445	37113
332	18502	37060
333	18556	37001
334	18612	36948
335	18666	36888
336	18723	36836
337	18785	36793
338	18838	36732
339	18892	36673
340	18949	36621
341	19004	36563
342	19057	36503
343	19110	36443
344	19165	36386
345	19221	36331
346	19276	36276
347	19331	36218
348	19386	36161
349	19454	36128
350	19514	36083
351	19587	36058
352	19645	36007
353	19703	35956
354	19770	35921
355	19828	35870
356	19884	35814
357	19939	35757
358	19996	35703
359	20050	35645
360	20108	35592
361	20163	35536
362	20216	35476
363	20270	35418
364	20328	35365
365	20382	35308
366	20450	35273
367	20503	35213
368	20566	35168
369	20620	35109
370	20674	35051
371	20732	35000
372	20792	34951
373	20855	34908
374	20916	34861
375	20972	34805
376	21026	34746
377	21078	34684
378	21135	34630
379	21191	34575
380	21246	34518
381	21301	34461
382	21371	34429
383	21435	34386
384	21501	34346
385	21553	34283
386	21611	34232
387	21663	34170
388	21716	34109
389	21769	34049
390	21823	33991
391	21878	33934
392	21941	33889
393	21994	33829
394	22048	33770
395	22100	33709
396	22153	33648
397	22208	33592
398	22263	33534
399	22316	33475
400	22373	33420
401	22429	33365
402	22484	33308
403	22536	33246
404	22593	33192
405	22645	33131
406	22705	33081
407	22765	33032
408	22821	32977
409	22876	32920
410	22928	32858
411	22984	32803
412	23040	32747
413	23089	32682
414	23148	32631
415	23211	32585
416	23264	32525
417	23317	32465
418	23379	32418
419	23434	32361
420	23487	32302
421	23544	32248
422	23597	32188
423	23654	32134
424	23707	32075
425	23761	32016
426	23813	31955
427	23864	31894
428	23915	31832
429	23969	31773
430	24021	31713
431	24074	31653
432	24131	31599
433	24188	31545
434	24243	31489
435	24300	31434
436	24351	31372
437	24407	31317
438	24463	31262
439	24522	31210
440	24576	31152
441	24630	31095
442	24689	31042
443	24741	30982
444	24794	30923
445	24850	30868
446	24909	30815
447	24962	30757
448	25022	30706
449	25081	30655
450	25135	30596
451	25189	30539
452	25243	30481
453	25299	30426
454	25357	30373
455	25413	30317
456	25468	30261
457	25522	30203
458	25578	30147
459	25632	30090
460	25686	30033
461	25738	29972
462	25791	29913
463	25844	29854
464	25899	29797
465	25954	29741
466	26006	29682
467	26061	29625
468	26114	29567
469	26167	29507
470	26221	29450
471	26273	29390
472	26327	29333
473	26381	29275
474	26446	29230
475	26502	29174
476	26555	29116
477	26622	29073
478	26678	29017
479	26736	28964
480	26789	28905
481	26843	28847
482	26897	28791
483	26951	28733
484	27006	28676
485	27059	28618
486	27117	28564
487	27200	28538
488	27258	28484
489	27315	28430
490	27372	28375
491	27434	28326
492	27488	28269
493	27542	28211
494	27598	28155
495	27650	28096
496	27704	28038
497	27766	27989
498	27822	27934
499	27875	27875
500	27929	27817
501	27986	27763
502	28041	27706
503	28098	27652
504	28152	27595
505	28209	27540
506	28267	27486
507	28333	27441
508	28384	27380
509	28437	27321
510	28497	27270
511	28548	27210
512	28606	27156
513	28661	27099
514	28720	27047
515	28780	26995
516	28838	26941
517	28896	26888
518	28952	26832
519	29006	26775
520	29060	26717
521	29115	26661
522	29168	26603
523	29223	26546
524	29289	26500
525	29346	26445
526	29399	26387
527	29452	26328
528	29508	26272
529	29567	26220
530	29620	26161
531	29674	26104
532	29725	26044
533	29778	25986
534	29836	25933
535	29890	25875
536	29946	25819
537	30001	25763
538	30054	25704
539	30111	25650
540	30165	25593
541	30223	25539
542	30274	25479
543	30327	25421
544	30379	25362
545	30435	25307
546	30491	25251
547	30549	25197
548	30603	25140
549	30656	25082
550	30707	25022
551	30763	24967
552	30818	24910
553	30875	24856
554	30935	24803
555	30990	24748
556	31044	24690
557	31096	24632
558	31149	24574
559	31203	24516
560	31257	24460
561	31312	24403
562	31396	24370
563	31452	24314
564	31512	24261
565	31567	24205
566	31621	24148
567	31673	24090
568	31726	24031
569	31784	23977
570	31833	23917
571	31886	23858
572	31936	23799
573	31988	23740
574	32038	23680
575	32087	23620
576	32136	23559
577	32186	23499
578	32240	23442
579	32296	23387
580	32348	23328
581	32400	23270
582	32447	23208
583	32497	23149
584	32547	23089
585	32598	23030
586	32650	22971
587	32699	22912
588	32750	22852
589	32802	22794
590	32854	22737
591	32910	22681
592	32960	22622
593	33012	22563
594	33064	22506
595	33114	22446
596	33163	22387
597	33213	22327
598	33263	22268
599	33314	22209
600	33376	22158
601	33428	22100
602	33479	22042
603	33527	21981
604	33580	21924
605	33635	21868
606	33687	21810
607	33736	21751
608	33783	21690
609	33835	21632
610	33885	21573
611	33938	21516
612	33987	21457
613	34035	21397
614	34084	21337
615	34137	21280
616	34186	21221
617	34242	21166
618	34293	21108
619	34348	21052
620	34399	20994
621	34448	20934
622	34499	20876
623	34551	20819
624	34601	20761
625	34667	20711
626	34719	20654
627	34774	20599
628	34827	20542
629	34877	20483
630	34937	20430
631	34985	20371
632	35033	20311
633	35082	20252
634	35133	20194
635	35181	20135
636	35238	20080
637	35286	20021
638	35339	19965
639	35389	19906
640	35438	19847
641	35489	19789
642	35537	19730
643	35586	19671
644	35638	19614
645	35691	19558
646	35742	19501
647	35793	19443
648	35843	19385
649	35895	19328
650	35947	19271
651	36004	19216
652	36053	19158
653	36102	19099
654	36155	19043
655	36206	18986
656	36258	18929
657	36308	18871
658	36356	18812
659	36409	18756
660	36463	18700
661	36514	18643
662	36564	18585
663	36613	18527
664	36662	18469
665	36716	18413
666	36767	18356
667	36817	18298
668	36866	18240
669	36917	18183
670	36969	18126
671	37026	18072
672	37076	18014
673	37126	17957
674	37177	17900
675	37231	17844
676	37283	17788
677	37339	17733
678	37392	17677
679	37447	17622
680	37501	17567
681	37550	17509
682	37604	17453
683	37654	17396
684	37709	17340
685	37762	17284
686	37812	17227
687	37861	17169
688	37913	17113
689	37961	17055
690	38014	16999
691	38068	16944
692	38118	16886
693	38168	16829
694	38216	16771
695	38267	16714
696	38322	16659
697	38370	16601
698	38421	16544
699	38479	16491
700	38528	16433
701	38579	16376
702	38632	16321
703	38682	16264
704	38735	16208
705	38790	16153
706	38840	16096
707	38896	16041
708	38945	15984
