iter	CrossEntropy
0	0.6866752494
1	0.6803832448
2	0.6742679174
3	0.6689715198
4	0.6633643903
5	0.6583135888
6	0.653531815
7	0.6491088289
8	0.6449906162
9	0.6411603987
10	0.637610019
11	0.6340110874
12	0.6307562588
13	0.6277637471
14	0.6248794176
15	0.6222277253
16	0.6197003611
17	0.6172562742
18	0.6150407238
19	0.6128944997
20	0.6107473388
21	0.6087760297
22	0.6069617515
23	0.6054605993
24	0.6039318953
25	0.6024430512
26	0.6009111451
27	0.5994464527
28	0.5981499229
29	0.5971261687
30	0.5958522315
31	0.5948355358
32	0.593884734
33	0.592846868
34	0.5919009763
35	0.5910395193
36	0.5901769252
37	0.5893116274
38	0.5884675464
39	0.5877206949
40	0.587126233
41	0.5864071474
42	0.5857118299
43	0.5850324219
44	0.5843709501
45	0.5838512202
46	0.583221513
47	0.58267248
48	0.5820747064
49	0.5816859432
50	0.5812353776
51	0.5808426527
52	0.5804678307
53	0.5800469431
54	0.5796815872
55	0.5793853137
56	0.5789259093
57	0.5784666145
58	0.5781894235
59	0.5778386004
60	0.5775507161
61	0.5771442381
62	0.5768459295
63	0.576567559
64	0.5762247438
65	0.5759821282
66	0.5757545923
67	0.5753806443
68	0.5751593665
69	0.5748194371
70	0.5745275089
71	0.574203676
72	0.5740235082
73	0.5737460439
74	0.5734927934
75	0.5732415152
76	0.5729801386
77	0.5727290506
78	0.5725420903
79	0.5724201397
80	0.5722225737
81	0.5720369837
82	0.5718283715
83	0.5716101185
84	0.5714419684
85	0.5713060096
86	0.5710616359
87	0.570899357
88	0.5707448076
89	0.5705918497
90	0.5704104697
91	0.5702831769
92	0.5700790207
93	0.5699192499
94	0.5697645065
95	0.5695640688
96	0.5693849105
97	0.5692221519
98	0.5690539464
99	0.5689510596
100	0.5687636894
101	0.5686127632
102	0.5684433872
103	0.5683343341
104	0.5682093466
105	0.5680609396
106	0.5679540292
107	0.5677965724
108	0.5677054487
109	0.5675120615
110	0.5673689385
111	0.5672873904
112	0.5671891196
113	0.5670656213
114	0.5669043492
115	0.5667908501
116	0.5666768873
117	0.5665665763
118	0.5664394885
119	0.5663133013
120	0.5661774403
121	0.5660537103
122	0.5659328608
123	0.5658870475
124	0.5658140293
125	0.5657193748
126	0.5655788228
127	0.5654462728
128	0.5653251072
129	0.5652467842
130	0.5651460506
131	0.5650447787
132	0.5649177425
133	0.5648207389
134	0.5647065975
135	0.5646113322
136	0.5645431797
137	0.564453838
138	0.5643255157
139	0.5641995479
140	0.5641018662
141	0.5640059746
142	0.5639207375
143	0.5638377449
144	0.5637424577
145	0.5636808834
146	0.5635485543
147	0.5634750601
148	0.563387442
149	0.5633189295
150	0.5632841633
151	0.5631933288
152	0.563112596
153	0.563018504
154	0.5629497448
155	0.5628747865
156	0.5627806892
157	0.5626895318
158	0.5626203176
159	0.5624727843
160	0.5623850018
161	0.5622840228
162	0.562257585
163	0.562235301
164	0.5621503435
165	0.5620363279
166	0.5619812151
167	0.5618773131
168	0.5618181827
169	0.5617564532
170	0.5616667791
171	0.5615868503
172	0.5615018921
173	0.561473073
174	0.561390764
175	0.5613255895
176	0.561232243
177	0.5611987422
178	0.5611081014
179	0.5610853363
180	0.561027998
181	0.5609905954
182	0.5609099231
183	0.5607154404
184	0.5606572061
185	0.5605869458
186	0.5605492615
187	0.5604675392
188	0.5604185692
189	0.5603091041
190	0.5602041825
191	0.5601230059
192	0.5600782794
193	0.5600270965
194	0.5599659837
195	0.5599352434
196	0.55990229
197	0.5598485766
198	0.5597631471
199	0.559714016
200	0.5596380674
201	0.5596020387
202	0.5595549184
203	0.5594906472
204	0.5594247446
205	0.5593918279
206	0.5593162885
207	0.5592491385
208	0.5591941466
209	0.5591044045
210	0.5590649007
211	0.5590493792
212	0.5590355965
213	0.5589957429
214	0.5589312
215	0.5588584374
216	0.5588106839
217	0.5587129185
218	0.5586668746
219	0.5586314362
220	0.5585741205
221	0.5585132614
222	0.5584043116
223	0.5583770677
224	0.5583327021
225	0.5582279551
226	0.5581809972
227	0.558127627
228	0.55809729
229	0.5580544528
230	0.5579825579
231	0.5579078542
232	0.5578429087
233	0.5577215277
234	0.5576646812
235	0.5575822981
236	0.5575381949
237	0.5574663757
238	0.557338645
239	0.5572934088
240	0.5572218506
241	0.5571839687
242	0.557157974
243	0.5571069508
244	0.5570367125
245	0.5569950658
246	0.5569137933
247	0.5568072302
248	0.5567666651
249	0.5567002582
250	0.5566524935
251	0.5566464999
252	0.5566135454
253	0.5565843555
254	0.5565466687
255	0.5564744307
256	0.5564255732
257	0.5563498842
258	0.5563072681
259	0.5562660649
260	0.5562304599
261	0.5561948429
262	0.5561610847
263	0.5561060858
264	0.5560565555
265	0.5559691883
266	0.5559175418
267	0.5558510528
268	0.5558052521
269	0.5557421396
270	0.5557116899
271	0.555665681
272	0.55557677
273	0.5555134627
274	0.5554551145
275	0.5553956242
276	0.5553298602
277	0.5552596337
278	0.5551884217
279	0.5551438785
280	0.5551181011
281	0.5550493168
282	0.5549815163
283	0.5549330043
284	0.5548819631
285	0.5548316726
286	0.5547777203
287	0.5547527361
288	0.5547162443
289	0.5546799972
290	0.5546462831
291	0.5545843318
292	0.5545507784
293	0.5545005806
294	0.5544692318
295	0.5544267908
296	0.554393462
297	0.5543340074
298	0.554290863
299	0.5542490652
300	0.5542224002
301	0.5541689332
302	0.5540961544
303	0.5540692822
304	0.5540458173
305	0.5540049056
306	0.5539241512
307	0.5539118442
308	0.5538281232
309	0.5537616603
310	0.5537168247
311	0.5536512766
312	0.5536078781
313	0.5535288803
314	0.5534424314
315	0.5533801523
316	0.5533576388
317	0.5532951422
318	0.5532847999
319	0.5532520481
320	0.5531896497
321	0.5531182964
322	0.5530571856
323	0.5530465683
324	0.5529320836
325	0.5528791859
326	0.5528211065
327	0.5527851964
328	0.5527209579
329	0.552672741
330	0.5526091955
331	0.5525497349
332	0.5524561222
333	0.5524206589
334	0.5523923425
335	0.5523314593
336	0.552288031
337	0.552215917
338	0.5521445876
339	0.5521103958
340	0.5520610049
341	0.5519707954
342	0.5519034022
343	0.5518540624
344	0.5518205292
345	0.5517577007
346	0.5516914017
347	0.551625724
348	0.5515656386
349	0.551502723
350	0.5514221423
351	0.5513754178
352	0.5512813078
353	0.5511859118
354	0.5511367524
355	0.5510718289
356	0.5510123768
357	0.5509450665
358	0.5509041389
359	0.5508312758
360	0.5507864153
361	0.5507069062
362	0.5506494564
363	0.5506255577
364	0.5505904486
365	0.5505249848
366	0.550453031
367	0.5503906935
368	0.5503274292
369	0.5502382688
370	0.5502013808
371	0.5501655582
372	0.5501041944
373	0.5499963858
374	0.5499198588
375	0.5498453053
376	0.5497695666
377	0.5496789632
378	0.5496100058
379	0.5495656803
380	0.5494893131
381	0.5494272293
382	0.5493366615
383	0.5492674592
384	0.5492167139
385	0.5491447467
386	0.5490904674
387	0.5490492291
388	0.5489537402
389	0.5488897893
390	0.548768908
391	0.5487340002
392	0.5486669758
393	0.5485656792
394	0.5484414916
395	0.5483827862
396	0.548240106
397	0.5481660432
398	0.5480668132
399	0.5480298295
400	0.5479883456
401	0.5479684234
402	0.5478981589
403	0.5478154352
404	0.5477069756
405	0.5476468884
406	0.5475808288
407	0.5475368648
408	0.5475061902
409	0.5474284585
410	0.5473498515
411	0.5472940653
412	0.5472015687
413	0.5471762655
414	0.5471042212
415	0.5470259142
416	0.5469616755
417	0.5468629514
418	0.5467896215
419	0.5467400974
420	0.5466653678
421	0.5466116589
422	0.5464923488
423	0.5464268376
424	0.5463850294
425	0.5463315546
426	0.5462305524
427	0.5461481501
428	0.5461001787
429	0.5460240218
430	0.5459639256
431	0.5459159451
432	0.5458727775
433	0.5457858929
434	0.545703224
435	0.5456620371
436	0.5456143032
437	0.5455588813
438	0.54552589
439	0.545437106
440	0.5453803491
441	0.5453062893
442	0.54524177
443	0.5451590124
444	0.5450989669
445	0.5450296495
446	0.5449498461
447	0.5448787297
448	0.544827355
449	0.5447655887
450	0.5446897002
451	0.5446165253
452	0.5445575955
453	0.5445135917
454	0.5444455928
455	0.5443838891
456	0.5442898157
457	0.5442365859
458	0.5441745284
459	0.5440959258
460	0.544006362
461	0.5439590649
462	0.5438991175
463	0.5438320381
464	0.5437570165
465	0.5437065842
466	0.543661493
467	0.5435774007
468	0.5435153925
469	0.5434522644
470	0.5434017834
471	0.5433296539
472	0.5432889442
473	0.5432234999
474	0.5431713536
475	0.5431071389
476	0.5430375495
477	0.5429824049
478	0.5429272035
479	0.5428636276
480	0.5427976787
481	0.5427352078
482	0.5427121113
483	0.542692079
484	0.542595068
485	0.5425340501
486	0.5424780737
487	0.5424001843
488	0.5423776377
489	0.5423219404
490	0.5422712347
491	0.5422198402
492	0.5421778812
493	0.5421113963
494	0.5420523594
495	0.5419811422
496	0.5419435201
497	0.5419244241
498	0.5418600549
499	0.5417671458
500	0.5417273847
501	0.5417176795
502	0.5416714263
503	0.5415907625
504	0.541553718
505	0.5415103082
506	0.5414660742
507	0.5413963102
508	0.5413891151
509	0.5413282404
510	0.5412831604
511	0.5411858711
512	0.5411716969
513	0.5411299525
514	0.5410550277
515	0.5410001028
516	0.5409503037
517	0.5409022046
518	0.5408396551
519	0.5407714415
520	0.5407534839
521	0.5406849727
522	0.5405866496
523	0.5405332433
524	0.5404729857
525	0.5404277223
526	0.5403771661
527	0.540308753
528	0.5402612195
529	0.5401932823
530	0.5401788572
531	0.5401034092
532	0.5400646729
533	0.5400457447
534	0.5400064595
535	0.5399139324
536	0.5399051115
537	0.5398273015
538	0.539776382
539	0.5397284869
540	0.5396553069
541	0.5396200962
542	0.5395459786
543	0.5395031675
544	0.5394572502
545	0.5393952549
546	0.5393657521
547	0.5393045943
548	0.5392639603
549	0.5392397941
550	0.5391844072
551	0.5391509282
552	0.5390949034
553	0.5390600572
554	0.539005871
555	0.5389739571
556	0.5389194306
557	0.5388843874
