iter	CrossEntropy
0	0.6862195527
1	0.6798419509
2	0.6741090806
3	0.6685685309
4	0.6633866669
5	0.6584527989
6	0.6537214193
7	0.6492557521
8	0.6452554118
9	0.6412702202
10	0.6376185525
11	0.6340192503
12	0.6304524406
13	0.6275575976
14	0.6246025018
15	0.6217810651
16	0.619029476
17	0.6164479462
18	0.6140881347
19	0.6122530297
20	0.6103318453
21	0.608647867
22	0.6067054465
23	0.6048145471
24	0.603352857
25	0.601782322
26	0.6002446596
27	0.5990835367
28	0.5979307386
29	0.596660942
30	0.5956748602
31	0.5946986348
32	0.5936652515
33	0.5923528497
34	0.5912909512
35	0.5904633385
36	0.5896858244
37	0.5888238
38	0.5880222402
39	0.5871585774
40	0.5864416061
41	0.5856515757
42	0.5850885834
43	0.584466372
44	0.5838531464
45	0.5834144399
46	0.5828273503
47	0.5823418107
48	0.5818436124
49	0.5813588406
50	0.5808816162
51	0.5804306744
52	0.5800234251
53	0.5796148742
54	0.5792716772
55	0.5789187966
56	0.5785608843
57	0.578192088
58	0.5778681952
59	0.5775894989
60	0.5773089024
61	0.5769432623
62	0.5766567684
63	0.5764003811
64	0.5761215806
65	0.5757902401
66	0.5754940307
67	0.5750992644
68	0.5747622294
69	0.5744773538
70	0.574208347
71	0.573861459
72	0.5736246054
73	0.5734098622
74	0.5732096603
75	0.5730347549
76	0.5728572165
77	0.5726633297
78	0.5724369574
79	0.5721503956
80	0.5719560294
81	0.5717597511
82	0.5716109098
83	0.5714328354
84	0.5712952783
85	0.57110152
86	0.5709164532
87	0.5707751831
88	0.5706270425
89	0.5704995623
90	0.5703304602
91	0.5701442215
92	0.569914555
93	0.5697496576
94	0.5695849354
95	0.5694378367
96	0.5692652768
97	0.5691276627
98	0.5689294332
99	0.5687790314
100	0.5686674129
101	0.5685368609
102	0.5682972773
103	0.5681844586
104	0.5680615468
105	0.5679181935
106	0.5678240312
107	0.5676620053
108	0.567515029
109	0.5673947025
110	0.5672798896
111	0.5671756502
112	0.5670722588
113	0.5669242314
114	0.5667426716
115	0.5666131694
116	0.5664924263
117	0.5664074166
118	0.5662781577
119	0.566155395
120	0.5660213044
121	0.5658243293
122	0.5657178126
123	0.5656402795
124	0.565548217
125	0.5654496715
126	0.5653312624
127	0.5651555039
128	0.5650667702
129	0.5649552523
130	0.5648590926
131	0.5647037893
132	0.5645863025
133	0.5644845491
134	0.5643427466
135	0.5642332886
136	0.5641538624
137	0.5640625505
138	0.5639835418
139	0.5638891672
140	0.5638127609
141	0.5637053433
142	0.5636405991
143	0.5635438748
144	0.5634655496
145	0.5633718839
146	0.5632612503
147	0.5631483338
148	0.5630562561
149	0.562941184
150	0.5628591433
151	0.5627523555
152	0.5626815722
153	0.5625771124
154	0.5624889723
155	0.5623779664
156	0.5623134104
157	0.5622382101
158	0.5621978063
159	0.5621286652
160	0.5620592467
161	0.5620012332
162	0.5619139257
163	0.5618375578
164	0.5617898458
165	0.5617423184
166	0.5616810888
167	0.5615887069
168	0.5615386786
169	0.5614434786
170	0.5613249992
171	0.5612379536
172	0.5611286138
173	0.5610665702
174	0.5609919753
175	0.5608934879
176	0.5608377852
177	0.5607470984
178	0.5606324125
179	0.5605563359
180	0.5604787601
181	0.5604354215
182	0.5603571211
183	0.5603095835
184	0.5602409781
185	0.5601141664
186	0.5600020563
187	0.5599334394
188	0.5598755356
189	0.5598305139
190	0.5597452482
191	0.5596996258
192	0.5596511737
193	0.5595569267
194	0.5594953216
195	0.5594542753
196	0.5593925604
197	0.5593445859
198	0.5592868508
199	0.5591553519
200	0.559104532
201	0.5590416782
202	0.5589818739
203	0.5589409675
204	0.5588741378
205	0.5587774004
206	0.5587057925
207	0.5585798142
208	0.5585181949
209	0.5584202837
210	0.5583534799
211	0.5583055281
212	0.5582397445
213	0.5581339013
214	0.5580417939
215	0.5579478384
216	0.5578793678
217	0.557807472
218	0.5577360682
219	0.5576848586
220	0.5576294349
221	0.557586404
222	0.5575112436
223	0.5574723848
224	0.5574075747
225	0.5573328306
226	0.5572632059
227	0.557200665
228	0.5571023461
229	0.5570496133
230	0.5570181753
231	0.5569540705
232	0.5568841925
233	0.5568126136
234	0.5567316965
235	0.5566885008
236	0.5566117827
237	0.5565616376
238	0.5564871988
239	0.5564154642
240	0.5563617698
241	0.5563133985
242	0.5562722784
243	0.5562005738
244	0.556134537
245	0.5560680082
246	0.5560256493
247	0.5559695068
248	0.5559153369
249	0.5558642448
250	0.555800634
251	0.5557670874
252	0.5557098194
253	0.5556455225
254	0.5555920493
255	0.5555550321
256	0.5555232208
257	0.5554778574
258	0.5554111142
259	0.5553523395
260	0.5552865362
261	0.5552371119
262	0.555208352
263	0.5551503401
264	0.555116553
265	0.5550529215
266	0.5549880008
267	0.554935536
268	0.5548990641
269	0.5548086793
270	0.5547554473
271	0.5546952707
272	0.5546469852
273	0.5545904639
274	0.5545550356
275	0.5545091348
276	0.554451329
277	0.5543873032
278	0.554345187
279	0.5543068259
280	0.5542589303
281	0.5542260479
282	0.5541501879
283	0.5541103144
284	0.5540566403
285	0.5540010138
286	0.5539410904
287	0.5538544891
288	0.5538219601
289	0.5538054181
290	0.5537823451
291	0.5537138845
292	0.5536568439
293	0.5535905845
294	0.5535330942
295	0.5534846327
296	0.5534247836
297	0.5533893854
298	0.5532786089
299	0.5532314772
300	0.5531587526
