iter	CrossEntropy
0	0.6863087599
1	0.6800098284
2	0.6740354148
3	0.6681186671
4	0.662808549
5	0.6578707936
6	0.653083512
7	0.6487032835
8	0.6445180563
9	0.6407644924
10	0.6372472047
11	0.6337446447
12	0.6303155595
13	0.6271749985
14	0.6242103029
15	0.6218625339
16	0.6192069371
17	0.6168780913
18	0.6145306081
19	0.6124916598
20	0.6104830083
21	0.6086082095
22	0.6066682667
23	0.6049446594
24	0.6031024408
25	0.6016373761
26	0.6002877176
27	0.5988943296
28	0.5975170924
29	0.5962269458
30	0.594956213
31	0.5940370317
32	0.5930362093
33	0.5919330474
34	0.5910643417
35	0.5902641797
36	0.5895415416
37	0.5886561967
38	0.5879417096
39	0.5871421281
40	0.5864069521
41	0.5857692123
42	0.5851107813
43	0.5844969008
44	0.5838364546
45	0.5832151713
46	0.5826212892
47	0.5821066809
48	0.5815962196
49	0.581060601
50	0.5804866684
51	0.5799469305
52	0.5794135275
53	0.5789999789
54	0.5785973305
55	0.5782560582
56	0.5779205425
57	0.5775147185
58	0.5772413612
59	0.5768371986
60	0.5765371799
61	0.576236908
62	0.5759556692
63	0.5756412267
64	0.5753407113
65	0.5749754644
66	0.5747049259
67	0.5744597656
68	0.5741849679
69	0.5739542751
70	0.5736259769
71	0.5734306658
72	0.573100552
73	0.5729669845
74	0.5727461049
75	0.5725580709
76	0.5723454146
77	0.5721281574
78	0.5719612485
79	0.5717706401
80	0.5715959626
81	0.571405832
82	0.5712694471
83	0.5711130184
84	0.5708872862
85	0.5706324603
86	0.5704612957
87	0.5702945441
88	0.5701567731
89	0.570000827
90	0.5698228008
91	0.5696525045
92	0.5695118938
93	0.5693281516
94	0.5691703794
95	0.5690330795
96	0.5688899012
97	0.5686606153
98	0.5684896249
99	0.5683575023
100	0.5682475086
101	0.5681145385
102	0.567983342
103	0.5679026386
104	0.5677730233
105	0.5675920329
106	0.5673904401
107	0.5672815825
108	0.5670870309
109	0.5669552509
110	0.566843547
111	0.5667153236
112	0.5666069547
113	0.5664837041
114	0.5663814839
115	0.5662909231
116	0.5661884774
117	0.5660694368
118	0.5659219893
119	0.5658146064
120	0.5657141527
121	0.5656232629
122	0.5655530903
123	0.5654866273
124	0.5653686116
125	0.5652877842
126	0.5651658447
127	0.565102378
128	0.5650345043
129	0.5649656909
130	0.5647907812
131	0.5646884932
132	0.564630319
133	0.5644318803
134	0.5643306376
135	0.5642197463
136	0.5641280642
137	0.5640196073
138	0.5639191158
139	0.5638420893
140	0.5636943498
141	0.5636152551
142	0.5635342434
143	0.563447025
144	0.5633617652
145	0.5632888245
146	0.5631984241
147	0.5631120999
148	0.5630000381
149	0.5629349532
150	0.5628719502
151	0.5627699676
152	0.5626648363
153	0.562512077
154	0.5624560254
155	0.5623613157
156	0.5622843213
157	0.5622013938
158	0.5620679619
159	0.5619900765
160	0.5619209833
161	0.5618605363
162	0.5618079109
163	0.5617399053
164	0.5616978829
165	0.5616042381
166	0.5615224712
167	0.5614880599
168	0.5614192172
169	0.5613608948
170	0.561312131
171	0.5612503867
172	0.5611707761
173	0.561096218
174	0.5609987097
175	0.5609481255
176	0.5608796422
177	0.5607828627
178	0.5606847653
179	0.5606053496
180	0.5605342414
181	0.5604532752
182	0.5603918819
183	0.5603453912
184	0.5602813878
185	0.5602131889
186	0.5601491232
187	0.5600823441
188	0.5599896034
189	0.5599146108
190	0.5598620352
191	0.5597583622
192	0.5596557528
193	0.5596289239
194	0.5595586951
195	0.5594872801
196	0.559397927
197	0.5592810482
198	0.5592064015
199	0.5591547788
200	0.5591060386
201	0.5590555899
202	0.5589851732
203	0.5589208574
204	0.5588421519
205	0.5587299291
206	0.5586566566
207	0.558599663
208	0.5585463275
209	0.5584808787
210	0.5583651643
211	0.5583192718
212	0.5582381936
213	0.5581605739
214	0.558102044
215	0.5580400726
216	0.5579951274
217	0.5579609886
218	0.5578865173
219	0.5578316636
220	0.5577676487
221	0.5577153957
222	0.5576674052
223	0.5575925569
224	0.5575321961
225	0.5574706502
226	0.5574195071
227	0.5573708361
228	0.5573274274
229	0.5572861773
230	0.5571906035
231	0.5571389729
232	0.5570874691
233	0.557034383
234	0.5569477315
235	0.5569099537
236	0.5568670422
237	0.5568253544
238	0.5567895977
239	0.5567895846
240	0.556703809
241	0.5566666227
242	0.5566314113
243	0.5565930785
244	0.5565284432
245	0.5564675314
246	0.5564627733
247	0.5563710002
248	0.5563507189
249	0.5562966845
250	0.5562377741
251	0.5561813795
252	0.5560713407
253	0.556031345
254	0.5559792131
255	0.5559317432
256	0.5558928487
257	0.5558380134
258	0.5557829829
259	0.555747942
260	0.5557036336
261	0.5556544209
262	0.5556079404
263	0.5555503667
264	0.5554806475
265	0.5554296647
266	0.5553613769
267	0.5553143383
268	0.5552720948
269	0.5552063277
270	0.5551378424
271	0.5551258752
272	0.5550620234
273	0.5549690382
274	0.5549282677
275	0.5548402931
276	0.5547571531
277	0.554677274
278	0.5546561373
279	0.5545638711
280	0.5544933093
281	0.5544252747
282	0.5543481434
283	0.5542993786
284	0.5542628121
285	0.5541933936
286	0.5541157776
287	0.5540573479
288	0.5540195843
289	0.5539910249
290	0.5539725159
291	0.5539153531
292	0.5538895888
293	0.5538360883
294	0.5537920617
295	0.5537460476
296	0.5537156237
297	0.5536824748
298	0.5536491231
299	0.553604748
300	0.5535402568
301	0.5534880624
302	0.5534348834
303	0.5533924252
304	0.5533272479
305	0.55329121
306	0.5532140689
307	0.5531596305
308	0.5531042953
309	0.5530530058
310	0.5530176617
311	0.5529517008
312	0.5528952088
313	0.552811334
314	0.552741922
315	0.552719689
316	0.5526660507
317	0.5526128181
318	0.5525568091
319	0.5524867261
320	0.5524322825
321	0.5523642803
322	0.5523192026
323	0.5522620853
324	0.5521973012
325	0.5521466522
326	0.5521120499
327	0.5520584614
328	0.5519581087
329	0.551885843
330	0.5518571189
331	0.5517972674
332	0.5517684839
333	0.5516835884
334	0.5516306495
335	0.5515893214
336	0.5515316068
337	0.5514760237
338	0.5514274292
339	0.5513920583
340	0.5513507546
341	0.5512850929
342	0.5511967703
343	0.5511271838
344	0.5510608694
345	0.5510068752
346	0.5509458464
347	0.5508931126
348	0.5508468169
349	0.5508029654
350	0.550777062
351	0.5507323135
352	0.5506879824
353	0.5506196422
354	0.5505778438
355	0.5505191044
356	0.5505054217
357	0.5504072531
358	0.5503608333
359	0.550332356
360	0.5502571935
361	0.550218822
362	0.5501890006
363	0.5501248649
364	0.5500530402
365	0.5499890436
366	0.5499379086
367	0.549876217
368	0.5498218348
369	0.5498014537
370	0.5497105325
371	0.5496545208
372	0.5495978536
373	0.5495483842
374	0.5495300703
375	0.5494568037
376	0.5494039346
377	0.549339826
378	0.5493037851
379	0.5492567672
380	0.5492135329
381	0.5491596067
382	0.5490992225
383	0.5490581285
384	0.5489887249
385	0.5489279591
386	0.5488655174
387	0.5487955209
388	0.5487294728
389	0.5486573581
390	0.5485489672
391	0.5484853147
392	0.5484587207
393	0.5484434352
394	0.5484003072
395	0.5483453499
396	0.5482879647
397	0.5482262589
398	0.5481590097
399	0.5481097538
400	0.5480522092
401	0.5479974254
402	0.5479193157
403	0.5478546843
404	0.5477742765
405	0.5477156195
406	0.547669834
407	0.5476129754
408	0.5475275885
409	0.547481686
410	0.5474429243
411	0.5473695274
412	0.5473012418
413	0.5472471271
414	0.5471611824
415	0.5470765888
416	0.5470282197
417	0.5469526088
418	0.5468302171
419	0.5468025916
420	0.5467264296
421	0.5466664169
422	0.5466132984
423	0.5465555745
424	0.5465021993
425	0.54643326
426	0.5463613002
427	0.5463094056
428	0.5462561739
429	0.5462062011
430	0.5461380114
431	0.546089203
432	0.5460085396
433	0.5459096301
434	0.5458155784
435	0.5457530657
436	0.5456712379
437	0.5456007019
438	0.5455539781
439	0.5455249985
440	0.5454499124
441	0.5453945624
442	0.5453036043
443	0.5452441249
444	0.5451957525
445	0.5451499511
446	0.5450719569
447	0.5450237252
448	0.5449496534
449	0.5448771728
450	0.5448225283
451	0.5447896898
452	0.544740196
453	0.5447019385
454	0.5446602777
455	0.5445725463
456	0.5444747396
457	0.5444426641
458	0.5443623486
459	0.5443017749
460	0.5442644531
461	0.5442221463
462	0.5441386233
463	0.5440853106
464	0.5440400281
465	0.5439916074
466	0.5439644601
467	0.5439108049
468	0.5438867487
469	0.5438181909
470	0.5437590286
471	0.5437338317
472	0.5436756954
473	0.5435840651
474	0.5435478567
475	0.543493486
476	0.5434271938
477	0.5433674515
478	0.5433257831
479	0.5432696025
480	0.5432144908
481	0.5431503661
482	0.5431020293
483	0.5430839994
484	0.543019509
485	0.5429729121
486	0.5429040698
487	0.5428625457
488	0.5428105957
489	0.5427595853
490	0.5427228566
491	0.5426924471
492	0.5426223282
493	0.5425869115
494	0.5425460935
495	0.5425262028
496	0.542485957
497	0.5424317626
498	0.5423916423
499	0.5423186418
500	0.5422561353
501	0.5422383129
502	0.5421756798
503	0.5421178493
504	0.5420634742
505	0.5420315579
506	0.5420029552
507	0.5419542574
508	0.5419247848
509	0.5418722657
510	0.5418033727
511	0.5417498802
512	0.5416887881
513	0.5416573303
514	0.5415930738
515	0.5415602691
516	0.5414949547
517	0.5414490654
518	0.5414111731
519	0.5413505529
520	0.5413364873
521	0.541323396
522	0.5412918445
523	0.5412208225
524	0.5411824219
525	0.5411272778
526	0.5410745367
527	0.5410419133
528	0.5409796675
529	0.5409512647
530	0.5408832624
531	0.5408214079
532	0.540774524
533	0.5407020871
534	0.540653154
535	0.5406042775
536	0.5405521118
537	0.5405349392
538	0.5405045094
539	0.5404746504
540	0.5404231043
541	0.5403647078
542	0.5403071888
543	0.5402551201
544	0.5402201386
545	0.5401673828
546	0.5401161024
547	0.540064335
548	0.5399888418
549	0.5399815361
550	0.5399243579
551	0.5398709284
552	0.5398660785
553	0.5398225757
554	0.5398034444
555	0.5397365356
556	0.5396962644
557	0.5396475023
558	0.5396197948
559	0.5395670025
560	0.5395436771
561	0.5394985692
562	0.539438942
563	0.5394255715
564	0.53934903
565	0.5393377231
566	0.5392809744
567	0.5392149977
568	0.5391821689
569	0.539144301
570	0.5390825732
571	0.5390194523
572	0.5389890074
573	0.5389376674
574	0.5388930812
575	0.5388410328
576	0.5388180841
577	0.5387831338
578	0.5387246768
579	0.5386736871
580	0.5386277555
581	0.5386002323
582	0.5385532542
583	0.5384885559
584	0.5384359546
585	0.5383847552
586	0.5383443551
587	0.5382927048
588	0.5382610404
589	0.5382098068
590	0.5381665406
591	0.5381269929
592	0.5381033032
593	0.538082563
594	0.5379890251
595	0.5379333688
596	0.5379256987
597	0.5379042195
598	0.5378783672
599	0.5378615183
600	0.5378412596
601	0.5378018278
602	0.5377791032
603	0.5377283313
604	0.5377113841
605	0.5376581568
606	0.5376482227
607	0.5375848745
608	0.5375344539
609	0.5374949168
610	0.5374327916
611	0.5373943745
612	0.5373746185
613	0.5373223384
614	0.5372495355
615	0.5371923134
616	0.5371376799
617	0.5370651206
618	0.5370235462
619	0.5369998272
620	0.5369635459
621	0.5369159689
622	0.5368739776
623	0.536828478
624	0.5368017896
625	0.5367752451
626	0.5367236273
627	0.5366813528
628	0.5366356431
629	0.5365881147
630	0.5365610821
631	0.5365292887
632	0.5364473924
633	0.5364028294
634	0.5363640696
635	0.5363218872
636	0.5362613028
637	0.5362087812
638	0.5361711247
639	0.5361288387
640	0.5360860231
641	0.5360406476
642	0.5360156434
643	0.535968395
