iter	CrossEntropy
0	0.6864855642
1	0.6799990459
2	0.6739972949
3	0.6683240119
4	0.6629624802
5	0.6579699896
6	0.6532085005
7	0.6487835365
8	0.6447592686
9	0.6408244517
10	0.6371318555
11	0.6337264354
12	0.6305195188
13	0.6275062145
14	0.6248128415
15	0.6222189512
16	0.6196866065
17	0.6171102446
18	0.6146077483
19	0.6124124764
20	0.6103426912
21	0.6086891578
22	0.6068891171
23	0.6052973877
24	0.6037311144
25	0.6021538478
26	0.6007743922
27	0.5994425101
28	0.5981037798
29	0.5968376978
30	0.5955394371
31	0.5945883607
32	0.5936706758
33	0.5927726342
34	0.5919045446
35	0.591091374
36	0.5903005198
37	0.5896763974
38	0.5890154657
39	0.5882197713
40	0.5873336474
41	0.5867140304
42	0.58590795
43	0.5853182683
44	0.5845053073
45	0.5840310078
46	0.5835076517
47	0.5829615334
48	0.5824844078
49	0.582086107
50	0.5816509347
51	0.5812642189
52	0.5807232822
53	0.5802385522
54	0.5799239843
55	0.5796237288
56	0.5792204003
57	0.5788916361
58	0.5786791594
59	0.5783073477
60	0.5780237159
61	0.5776431045
62	0.5773844404
63	0.5770832361
64	0.5767512578
65	0.5764626023
66	0.5761598161
67	0.5759321091
68	0.575550441
69	0.575244949
70	0.5750114417
71	0.5747483284
72	0.5745537646
73	0.5742675707
74	0.5740250972
75	0.5737769423
76	0.573540892
77	0.5733561424
78	0.5731612496
79	0.5730188224
80	0.5728623106
81	0.5726905252
82	0.5724973809
83	0.5723432208
84	0.5721109835
85	0.5719323099
86	0.5717673606
87	0.5716111225
88	0.5714206891
89	0.5712843743
90	0.5710840637
91	0.5708927696
92	0.5706947513
93	0.5705459357
94	0.5703656405
95	0.5702486388
96	0.5700996221
97	0.569873958
98	0.5697085915
99	0.5695321415
100	0.5694338531
101	0.5693054188
102	0.5692164398
103	0.569066877
104	0.5689365605
105	0.5687915615
106	0.5686653927
107	0.568459178
108	0.5683295157
109	0.5681472231
110	0.5680331237
111	0.5679397138
112	0.5678212628
113	0.5677019342
114	0.56754755
115	0.5674206636
116	0.5673199393
117	0.5671931957
118	0.567102727
119	0.566926616
120	0.5668013642
121	0.5667137305
122	0.5665922803
123	0.5664883314
124	0.5663842541
125	0.5662445545
126	0.5661360638
127	0.5660368427
128	0.565921593
129	0.5657577077
130	0.5656436076
131	0.5655077167
132	0.5654258692
133	0.5652883451
134	0.5651876419
135	0.5651087775
136	0.5650078982
137	0.5648535523
138	0.5647976173
139	0.5647086186
140	0.5645784261
141	0.5644643037
142	0.5643735439
143	0.5642702491
144	0.564116018
145	0.5640060111
146	0.5639175599
147	0.5638592293
148	0.5637895069
149	0.5636534823
