iter	CrossEntropy
0	0.6859761866
1	0.679870394
2	0.6737045951
3	0.6681802306
4	0.662814809
5	0.6576179754
6	0.652917573
7	0.6486090835
8	0.6442781774
9	0.6404976176
10	0.6369801114
11	0.6334308081
12	0.630168025
13	0.6271768712
14	0.6243834297
15	0.6219000862
16	0.6192031963
17	0.6166628897
18	0.614401994
19	0.6123305451
20	0.6103980356
21	0.6084144986
22	0.6068712661
23	0.6052788071
24	0.6037527997
25	0.6021595081
26	0.600760505
27	0.5993902619
28	0.5979618755
29	0.5965526954
30	0.5955972977
31	0.5947073487
32	0.5935570962
33	0.592624181
34	0.5917624708
35	0.5908845263
36	0.590190385
37	0.5892518283
38	0.5883319625
39	0.5875406652
40	0.5868632456
41	0.586103185
42	0.5855138436
43	0.5848402253
44	0.5842464534
45	0.5835675415
46	0.5830535213
47	0.5826602315
48	0.5820991249
49	0.5816933682
50	0.5812078963
51	0.5808536147
52	0.5804389861
53	0.5800437057
54	0.5795539819
55	0.5790123266
56	0.5786405733
57	0.5781250502
58	0.5778355803
59	0.5774557943
60	0.5771768991
61	0.576750534
62	0.5764074011
63	0.5760973092
64	0.5758131617
65	0.5755648841
66	0.5753063641
67	0.5750919639
68	0.5748391297
69	0.5745587628
70	0.5743255612
71	0.5741462993
72	0.5738774929
73	0.573640519
74	0.5734515726
75	0.5731798279
76	0.5729445205
77	0.5727100236
78	0.572500377
79	0.5723201486
80	0.5720554155
81	0.571910996
82	0.5716966763
83	0.5714137855
84	0.5712214228
85	0.571067058
86	0.5709295714
87	0.5707669223
88	0.5705791867
89	0.5704253192
90	0.5702547708
91	0.5699968842
92	0.5698314995
93	0.5696895166
94	0.5694955133
95	0.5693779172
96	0.5692060934
97	0.5690854946
98	0.5689315262
99	0.5688201883
100	0.56861835
101	0.5684784284
102	0.5683703646
103	0.5682636306
104	0.5681306324
105	0.5680082658
106	0.5678979057
107	0.5677517276
108	0.5676315361
109	0.5674347112
110	0.5672969879
111	0.5672160716
112	0.5671161913
113	0.5670345934
114	0.5669320235
115	0.566837759
116	0.5666740632
117	0.5665658729
118	0.5664393058
119	0.5663345856
120	0.5662312686
121	0.5661475193
122	0.5660034597
123	0.5658490052
124	0.5657572796
125	0.5656391641
126	0.5655420822
127	0.5654258068
128	0.5652853859
129	0.5651949563
130	0.565019431
131	0.5649317866
132	0.5648026647
133	0.5647154322
134	0.5646236827
135	0.5645163338
136	0.5643967184
137	0.5642725551
138	0.5641875715
139	0.564111763
140	0.5639735048
141	0.5638955228
142	0.5637994557
143	0.5637173688
144	0.5636166778
145	0.5635177869
146	0.5633879845
147	0.5632830166
148	0.5632067584
149	0.5630494297
150	0.5629548938
151	0.5628855018
152	0.5628121885
153	0.5627381746
154	0.5626059978
155	0.5624873534
